Nome,SKU,descrizione,pressione,SDR,categoria,IMMAGINI,SCHEDA DATI,INFO TECNICHE
ADAPTADOR PE/CUPHIN® (ECOBRASS) ROSCADO HEMBRA,164,"Adaptador de transición PE/CUPHIN® (ECOBRASS) con roscado GAS hembra. Particularmente apto para el uso residencial dada la completa ausencia de plomo. Tiene características antidecincificantes superiores a los actuales ADZ en comercio. Realizado pormedio de moldeado de inyección, se empleapara la conexión de materiales distintos (de los cuales uno debe ser polietileno) en instalaciones de tuberías para el transporte de agua potable.",PN 16 bar,S5 / SDR11,icog|icoaq|icoap|icoi|icoae,https://www.macplastsrl.it/2452-thickbox_default/adaptador-pe-cuphin-ecobrass-roscado-hembra.jpg|https://www.macplastsrl.it/2453-thickbox_default/adaptador-pe-cuphin-ecobrass-roscado-hembra.jpg|https://www.macplastsrl.it/2454-thickbox_default/adaptador-pe-cuphin-ecobrass-roscado-hembra.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Cuerpo metálico en latón CUPHIN CW724R según UNI EN 12168.     </li><li>Codo en polietileno alta densidad PE100, virgen de color negro.     </li><li>O-ring en NBR 70 Sh.A certificado gas yagua potable (DVGW).  </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>UNI EN 1555-3 (KIWA KIP-095784)</li>
<li>UNI EN 12201-3 D.M.174 (KIWA KIP-095789)</li>
<li>UNI EN ISO 15494 (KIWA KIP-095785)</li>
<li>DVGW G5600-1  (DW-7521CR0172)</li>
<li>DVGW GW335-B4 (DW-7511CR0155)</li>
<li>ACS C.M. 25.11.02 DGS/SD7A n.571</li>
<li>PZH POLAND HK/W/0553/01/2012</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Unión metal/PE conforme con la norma UNI 9736, de paso total.  </li><li>Certificado para el uso en instalaciones de agua potable según las más rigurosas especificaciones como NFS/ANSI 372 (América), DIN 50930-6 (Europa, UBA-List) eD.M.174 (Italia).</li><li>Dimensional polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Codo en PE soldable por electrofusión UNI 10521 o cabeza a cabeza UNI 10520. </li><li>Roscado hembra cilíndrica según UNI EN 10226-1 (exISO7/1). </li><li>Trabajo para apretamiento con llave de maniobra. </li></ul></div>
<h5>Características adicionales</h5>
<div class=""rte""><ul><li>Provisto de o-ring de seguridad interno.     </li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>Uso GAS certificado hasta DE63 x 2"".  </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 1555-3</li>
<li>UNI EN 12201-3</li>
<li>ISO 4437-3</li>
<li>ISO 4427-3</li>
<li>UNI EN ISO 15494</li>
<li>UNI EN 10226-1</li>
</ul></div>"
BRIDA PERFILADA,175,"Brida de conexión de efecto muelle, estudiada para evitar el aflojamiento de los pernos en función de cualquier condición climática. Sumamente liviana y resistente, gracias a la fundición forradaen polipropileno reforzado con fibra de vidrio (PP-GF30). Perforación conforme conEN 1092-1. Puedee emplearse en instalaciones para el transporte de agua de conducto.",PN 16 bar,,icoaq|icoi,https://www.macplastsrl.it/2464-thickbox_default/brida-perfilada.jpg|https://www.macplastsrl.it/2465-thickbox_default/brida-perfilada.jpg|https://www.macplastsrl.it/2466-thickbox_default/brida-perfilada.jpg|https://www.macplastsrl.it/2467-thickbox_default/brida-perfilada.jpg|https://www.macplastsrl.it/2468-thickbox_default/brida-perfilada.jpg|https://www.macplastsrl.it/2469-thickbox_default/brida-perfilada.jpg|https://www.macplastsrl.it/2470-thickbox_default/brida-perfilada.jpg|https://www.macplastsrl.it/2471-thickbox_default/brida-perfilada.jpg|https://www.macplastsrl.it/2472-thickbox_default/brida-perfilada.jpg|https://www.macplastsrl.it/2473-thickbox_default/brida-perfilada.jpg|https://www.macplastsrl.it/2677-thickbox_default/brida-perfilada.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Ánima interna en fundición esferoidal EN-GJS-500-7.     </li><li>Revestimiento externo en polipropileno cargado en vidrio 30% (PP-GF30).     </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Geometría de sección en forma de ""C"" con efecto muelle a prueba de aflojamiento. </li><li>Estudiada para resistir 4 veces la precarga aconsejada de los pernos.   </li><li>Peso reducido del 70% respecto a las bridas de acero normales. </li><li>Alta resistencia a la corrosión graciasal alto espesor del revestimiento (mín 3 mm).</li><li>Dimensionales según UNI EN ISO 15494-4.  </li><li>Agujeros de conexión PN10 y PN16 según EN 1092-1 / ISO7005. </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN ISO 15494</li>
<li>EN 1092-1 / ISO 7005</li>
</ul></div>"
,001,,,,icog|icoaq|icoap,,,
,138,,,,icog,,,
,011,,,,icog,,,
,151,,,,icoaq|icoap|icoi|icoae,,,
,217,,,,icoaq|icoap|icoi,,,
,175,,,,icoaq|icoi|icoap|icog,,,
,517,,,,icoaq|icoap,,,
,522,,,,icoaq|icoap,,,
,223,,,,icoaq|icoap|icoae,,,
,054,,,,icoaq|icoap|icoi|icoae,,,
,005,,,,icog|icoaq|icoap|icoi|icoae,,,
,087,,,,icog|icoaq|icoap,,,
,105,,,,icoir,,,
,109,,,,icoir,,,
,111,,,,icoir,,,
,084,,,,icoae,,,
,116,,,,icoae,,,
,322,,,,icoer,,,
,115,,,,icof,,,
,205,,,,icof,,,
,001,,,,icog|icoaq|icoap,,,
,138,,,,icog,,,
,011,,,,icog,,,
,151,,,,icoaq|icoap|icoi|icoae,,,
,217,,,,icoaq|icoap|icoi,,,
,175,,,,icoaq|icoi|icoap|icog,,,
